Geography,Alternative measures,Vector,Coordinate,Jan-92,Feb-92,Mar-92,Apr-92,May-92,Jun-92,Jul-92,Aug-92,Sep-92,Oct-92,Nov-92,Dec-92,Jan-93,Feb-93,Mar-93,Apr-93,May-93,Jun-93,Jul-93,Aug-93,Sep-93,Oct-93,Nov-93,Dec-93,Jan-94,Feb-94,Mar-94,Apr-94,May-94,Jun-94,Jul-94,Aug-94,Sep-94,Oct-94,Nov-94,Dec-94,Jan-95,Feb-95,Mar-95,Apr-95,May-95,Jun-95,Jul-95,Aug-95,Sep-95,Oct-95,Nov-95,Dec-95,Jan-96,Feb-96,Mar-96,Apr-96,May-96,Jun-96,Jul-96,Aug-96,Sep-96,Oct-96,Nov-96,Dec-96,Jan-97,Feb-97,Mar-97,Apr-97,May-97,Jun-97,Jul-97,Aug-97,Sep-97,Oct-97,Nov-97,Dec-97,Jan-98,Feb-98,Mar-98,Apr-98,May-98,Jun-98,Jul-98,Aug-98,Sep-98,Oct-98,Nov-98,Dec-98,Jan-99,Feb-99,Mar-99,Apr-99,May-99,Jun-99,Jul-99,Aug-99,Sep-99,Oct-99,Nov-99,Dec-99,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,01-Jan,01-Feb,01-Mar,01-Apr,01-May,01-Jun,01-Jul,01-Aug,01-Sep,01-Oct,01-Nov,01-Dec,02-Jan,02-Feb,02-Mar,02-Apr,02-May,02-Jun,02-Jul,02-Aug,02-Sep,02-Oct,02-Nov,02-Dec,03-Jan,03-Feb,03-Mar,03-Apr,03-May,03-Jun,03-Jul,03-Aug,03-Sep,03-Oct,03-Nov,03-Dec,04-Jan,04-Feb,04-Mar,04-Apr,04-May,04-Jun,04-Jul,04-Aug,04-Sep,04-Oct,04-Nov,04-Dec,05-Jan,05-Feb,05-Mar,05-Apr,05-May,05-Jun,05-Jul,05-Aug,05-Sep,05-Oct,05-Nov,05-Dec,06-Jan,06-Feb,06-Mar,06-Apr,06-May,06-Jun,06-Jul,06-Aug,06-Sep,06-Oct,06-Nov,06-Dec,07-Jan,07-Feb,07-Mar,07-Apr,07-May,07-Jun,07-Jul,07-Aug,07-Sep,07-Oct,07-Nov,07-Dec,08-Jan,08-Feb,08-Mar,08-Apr,08-May,08-Jun,08-Jul,08-Aug,08-Sep,08-Oct,08-Nov,08-Dec,09-Jan,09-Feb,09-Mar,09-Apr,09-May,09-Jun,09-Jul,09-Aug,09-Sep,09-Oct,09-Nov,09-Dec,10-Jan,10-Feb,10-Mar,10-Apr,10-May,10-Jun,10-Jul,10-Aug,10-Sep,10-Oct,10-Nov,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun,23-Jul,23-Aug,23-Sep,23-Oct,23-Nov,23-Dec
Canada,,,,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Measure of core inflation based on a factor model, CPI-common (year-over-year percent change) 2 3 4 5",v108785713,1.1,1.7,1.4,1.3,1.2,1.1,0.8,1.2,1.2,1.3,1.5,1.6,1.8,1.8,1.9,1.7,1.8,1.6,1.7,1.4,1.3,1.5,1.6,1.4,1.5,1.2,1.3,1.3,1.1,0.9,0.9,0.9,0.8,0.8,0.6,0.8,0.9,1.2,1.2,1.5,1.5,1.9,1.9,2,2,1.9,2,1.8,1.5,1.3,1.2,1.2,1.3,1.3,1.3,1.2,1.2,1.3,1.4,1.5,1.6,1.6,1.6,1.6,1.6,1.5,1.6,1.5,1.5,1.4,1.4,1.2,1.2,1.4,1.6,1.4,1.5,1.6,1.6,1.7,1.7,1.8,1.8,2,1.9,2,1.8,1.8,2,2,2,1.9,1.9,1.9,1.9,1.8,1.8,1.4,1.8,1.8,1.5,1.6,1.6,1.8,1.9,1.8,1.8,2,2.1,2.3,2.3,2.3,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.3,2.4,2.3,2.3,2.3,2.4,2.2,2.2,2.2,2.3,2.2,2,2.3,2.1,2.3,2.2,2.2,1.9,1.9,1.9,1.8,1.8,1.9,1.9,1.7,1.9,1.6,1.6,1.7,1.9,1.8,1.9,1.8,1.8,1.7,1.8,1.9,1.9,1.9,1.9,1.9,2,1.9,2,2,2.1,2.1,1.9,1.9,1.9,2.1,2,1.9,1.8,1.9,1.7,1.9,2,2.1,2.2,2.3,2.1,2.1,2.4,2.4,2.5,2.4,2.5,2.4,2.3,2.2,2,1.9,1.9,2,1.9,1.8,1.9,2,2.2,2.2,2.4,2.7,2.7,3.1,3.1,3,3.1,3.2,3.1,3.3,3.2,2.9,2.6,2.5,2.5,2.1,1.9,1.8,1.8,1.5,1.4,1.1,1.1,1.1,1.2,1,1.2,1,1.2,1.2,1.1,1.7,1.6,1.9,1.8,1.9,2,2.1,2,2.1,2,2,2.1,1.7,2,1.8,1.8,1.7,1.7,1.5,1.6,1.6,1.5,1.4,1.5,1.5,1.3,1.2,1.2,1.3,1.2,1.3,1.2,1,1.2,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.8,1.7,1.9,1.7,1.7,1.7,1.9,1.9,1.9,2,2,2.1,2.1,2,2.1,2.1,2,2,1.9,1.8,1.8,1.7,1.5,1.4,1.2,1.3,1.2,1.2,1.1,1.1,1,1.1,1.2,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.7,1.8,1.7,1.8,1.9,1.9,1.7,1.8,1.8,1.7,1.8,1.9,1.9,2,2.1,2.1,2.2,2.1,2.4,2.3,2.4,2.3,2.3,2,1.7,1.7,1.4,1.5,1.4,1.5,1.4,1.6,1.7,1.6,1.6,1.6,2,2.1,2.5,2.5,2.7,2.9,3,3,3.1,3.2,3.7,4,4.5,4.9,5.4,5.5,5.8,5.8,5.8,5.9,6.1,6,6.1,5.9,5.7,5.6,5.2,5.1,4.8,4.8,4.4,4.2,3.9,3.9
,"Measure of core inflation based on a weighted median approach, CPI-median (year-over-year percent change) 2 3 6 7 8",v108785714,1.2,2.2,2,1.9,1.9,1.8,1.8,1.8,1.7,1.6,1.7,1.7,2,2,1.9,1.9,1.9,1.8,1.8,1.8,1.7,1.7,1.8,1.6,1.6,1.5,1.6,1.7,1.6,1.5,1.4,1.4,1.4,1.5,1.3,1.6,1.7,1.7,1.8,1.8,1.9,2.1,2.1,2.1,2.1,2,2,1.7,1.5,1.5,1.4,1.3,1.3,1.2,1.3,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.2,1.1,1.2,1,1.1,0.9,0.9,1.1,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.1,1.3,1.3,1.3,1.5,1.3,1.4,1.4,1.4,1.5,1.6,1.6,1.7,1.6,1.7,1.8,1.9,2,2.1,2.2,2.2,2.2,2.2,2.3,2.2,2.3,2.2,2,2,2.1,2,2,2,2,2.1,2,2.2,2.2,2.1,2.2,2.2,2.2,2.4,2.4,2.2,2.2,2,2.1,2,1.9,2,1.9,2,1.8,1.6,1.5,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.9,1.9,1.8,1.8,2,1.8,1.8,1.9,1.8,1.8,1.8,1.9,1.8,1.7,1.8,1.8,1.9,1.9,2,1.9,2,2,2.1,2.1,2.2,2.2,2.2,2.5,2.4,2.5,2.5,2.7,2.5,2.5,2.7,2.5,2.3,2.4,2.6,2.5,2.4,2.6,2.4,2.5,2.6,2.7,2.5,2.6,2.7,2.7,2.5,2.5,2.5,2.2,2.2,2.1,1.9,1.7,1.7,1.7,1.8,1.7,1.7,1.7,1.6,1.7,1.6,1.5,1.6,1.6,1.6,1.7,1.4,1.6,1.6,1.4,1.8,1.8,1.9,1.9,1.9,2.1,2,1.9,2.1,1.9,2,2.1,1.9,2,1.7,1.6,1.7,1.6,1.6,1.6,1.6,1.7,1.4,1.6,1.6,1.5,1.6,1.8,1.7,1.6,1.6,1.6,1.5,1.6,1.7,1.5,1.6,1.7,1.8,1.8,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.6,1.7,1.6,1.8,1.8,1.7,1.8,1.9,2,2,1.9,2,2.1,2,2.1,2,2,2,2.1,1.9,1.8,1.8,1.8,1.6,1.6,1.6,1.5,1.6,1.6,1.6,1.5,1.7,1.7,1.8,1.9,1.9,1.9,1.8,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.9,2,2,2.1,2,2,2,2,2,2.1,2.1,2,1.9,1.8,1.9,1.8,1.8,1.8,1.9,2,2,2,2,2.1,2.2,2.2,2.3,2.5,2.6,2.8,2.9,3,3,3.1,3.4,3.7,3.9,4.3,4.8,5,5.1,5.2,5,5.2,5.4,5.4,5.3,5.1,4.9,4.6,4.3,3.9,3.9,3.8,4,3.7,3.5,3.5,3.5
,"Measure of core inflation based on a trimmed mean approach, CPI-trim (year-over-year percent change) 2 3 6 8 9",v108785715,1.3,1.6,1.5,1.6,1.5,1.5,1.5,1.5,1.4,1.4,1.5,1.6,2,2,2.1,2,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.6,1.5,1.6,1.6,1.6,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.6,1.8,1.8,1.9,2.1,2.3,2.3,2.2,2.1,2.2,2,1.9,1.7,1.5,1.5,1.4,1.2,1.2,1.2,1.2,1.1,1.1,1.3,1.4,1.4,1.3,1.3,1.3,1.3,1.2,1.3,1.1,1.2,1.1,1,0.8,0.8,1.1,1.1,0.9,0.9,0.9,0.9,1.1,1.1,1,1.2,1.2,1.1,1,1,1.2,1.3,1.3,1.2,1.3,1.3,1.6,1.5,1.5,1.6,1.5,1.6,1.6,1.5,1.6,1.8,1.8,1.9,1.8,1.9,2,2.1,2.2,2.2,2.2,2.4,2.4,2.4,2.5,2.4,2.3,2.2,1.9,1.9,2,2,2,2.1,2,1.9,1.9,2.1,2.1,2.1,2.3,2.2,2.2,2.3,2.2,2,1.9,1.9,1.8,1.7,1.8,1.7,1.7,1.7,1.7,1.6,1.4,1.6,1.6,1.6,1.7,1.7,1.6,1.7,1.9,1.9,1.7,1.7,1.9,1.8,1.8,1.8,1.7,1.7,1.8,1.8,1.7,1.6,1.8,1.7,1.8,1.7,1.9,1.7,2,2.2,2.3,2.4,2.5,2.5,2.5,2.8,2.8,2.8,2.8,2.9,2.7,2.5,2.5,2.4,2.2,2.2,2.3,2.2,2,2.3,2.3,2.3,2.5,2.5,2.5,2.5,2.7,2.7,2.5,2.4,2.4,2,2,1.9,1.6,1.5,1.3,1.3,1.3,1.3,1.3,1.3,1.1,1.3,1.2,1.1,1.3,1.2,1.3,1.5,1.3,1.4,1.3,1.2,1.6,1.5,1.8,1.8,1.8,2,2.1,2,2.1,1.9,2.1,2.2,1.9,2.1,1.7,1.5,1.5,1.5,1.3,1.3,1.2,1.2,1,1.2,1.2,0.9,1.1,1.3,1.3,1.1,1.3,1.2,1.3,1.4,1.5,1.3,1.5,1.6,1.8,1.8,1.6,1.7,1.7,1.7,1.7,1.6,1.7,1.6,1.6,1.4,1.5,1.5,1.7,1.6,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.9,1.9,2,1.9,1.9,1.8,1.8,1.6,1.6,1.6,1.5,1.4,1.4,1.2,1.2,1.3,1.4,1.4,1.4,1.7,1.8,1.8,2,1.9,1.9,1.9,2,2.1,2,2,2,1.9,1.9,1.9,1.9,2.1,2,2.2,2,2,2,2.1,2.1,2.2,2.1,2,1.9,1.8,1.8,1.5,1.7,1.6,1.6,1.7,1.8,1.9,1.8,1.9,2,2.2,2.4,2.7,2.8,3.2,3.4,3.5,3.5,3.5,3.9,4.2,4.5,5,5.3,5.6,5.7,5.6,5.3,5.4,5.5,5.5,5.3,5.1,4.8,4.4,4.2,3.7,3.7,3.6,3.9,3.6,3.5,3.5,3.7
,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada 10",v112593703,1.5,82.3,82.6,82.8,82.9,83.1,83.1,83.3,83.4,83.5,83.8,84.2,84.1,84.4,84.7,84.7,84.8,84.8,84.9,85.2,85.4,85.6,85.7,86.1,86.1,86.1,86.6,86.6,86.7,86.4,86.5,86.6,86.7,87.1,87.1,87.4,87.5,87.8,88.2,88.4,88.4,88.5,88.5,88.8,88.9,89.2,89.2,89.5,89.1,89.3,89.6,89.7,89.9,90,90,90.2,90.4,90.7,90.8,91.2,91,91.2,91.4,91.6,91.8,91.9,92,92,92.1,92.2,92.4,92.3,92.2,92.6,92.9,93,93,93.1,93.2,93.2,93.4,93.5,93.7,93.6,93.4,93.4,93.7,94,94.2,94.4,94.5,94.7,94.8,95.1,95.1,95,94.7,94.6,95,95.3,95.3,95.5,95.8,95.9,96,96.2,96.3,96.4,96.4,96.3,96.6,97,97.4,97.7,97.9,98.2,98.2,98.4,98.4,98.1,98,98.1,98.8,99.2,99.6,99.8,100,100.3,100.7,100.9,100.9,101.2,100.7,101.3,101.9,102,101.6,102.1,102,102.1,102.2,102.6,102.7,103,102.8,102.8,103,103.3,103.5,103.7,103.8,104,103.8,104.2,104.2,104.6,104.6,104.5,104.8,105.2,105.2,105.4,105.4,105.4,105.6,105.9,105.9,106.4,106.2,106.2,106.6,107,106.9,107.5,107.2,107,107.2,107.7,107.8,108,107.8,108,108.5,108.9,109,109.3,109.3,109.4,109.5,109.9,109.7,109.7,109.4,108.9,109.4,109.6,109.9,110.2,110.3,110.4,110.7,111.1,110.9,111.7,111.3,110.8,111.5,111.8,111.8,112.4,112.4,112.3,112.5,112.7,112.9,113.4,113,113,113.9,113.7,113.9,114.3,114.3,114.8,114.8,115.1,115.5,115.6,115.3,115.3,115.6,116.4,116.5,117.1,116.5,116.7,117.2,117.7,118.1,118.2,117.5,117.9,118.4,118.7,119.2,119.4,118.9,118.8,119.2,119.4,119.7,119.7,119.1,119.1,120.1,120.4,120.3,120.5,120.3,120.3,120.5,120.8,121,120.8,120.4,120.6,121.5,121.9,122.1,122.6,122.5,122.5,123,123.3,123.7,123.5,123,123.3,124,124.8,124.9,125.3,125.3,125.4,125.6,125.9,126.3,126,125.5,125.8,126.5,127.3,127.5,128,128,128,128,128.2,128.4,127.9,127.4,128.1,128.6,129,129,129.1,129.2,129.1,129.2,129.3,129.7,129.7,129,129.6,130.5,130.8,130.9,130.8,130.9,131.2,131.3,131.3,131.8,131.5,131.2,131.6,132.5,132.9,132.9,133.5,133.5,133.8,133.8,133.8,134.2,134,133.3,133.9,134.9,135,134.5,134.4,135,134.9,134.9,135,135.7,135.9,135.3,136,136.5,136.8,137.5,138.2,138.6,139.4,139.6,140.1,140.8,140.9,140.9,142,143,144.5,145.4,146.6,147.1,147.8,147.9,148.4,149,149,148.5,149,149.7,150.6,151.4,152,151.8,152.5,152.8,152.6,153.1,153.2,152.4
